Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,UT1,AA5,UT2,AA6,UT3,AA7,UT4,AA8
O43504,O43504;E9PLX3;R4GMU8;A0A0C4DGV4,LTOR5_HUMAN,LAMTOR5,Ragulator complex protein LAMTOR5,549006,,870541,,1.16E+06,,978346,
O43505,O43505,B4GA1_HUMAN,B4GAT1,"Beta-1,4-glucuronyltransferase 1",2.09E+06,1.17E+06,2.34E+06,1.13E+06,2.23E+06,1.00E+06,2.19E+06,961374
O43513,O43513;E5RIE8,MED7_HUMAN,MED7,Mediator of RNA polymerase II transcription subunit 7,1.12E+06,804413,1.12E+06,1.09E+06,819103,1.04E+06,1.36E+06,1.58E+06
O43521;O43521-10;O43521-11;O43521-12;O43521-14;O43521-19;O43521-4;O43521-8,O43521;O43521-4;O43521-8;O43521-10;O43521-11;O43521-12;O43521-14;O43521-19;C9J417,B2L11_HUMAN,BCL2L11,Bcl-2-like protein 11,877573,1.04E+06,765495,1.09E+06,952188,989372,858255,885506
O43524,O43524;O43524-2,FOXO3_HUMAN,FOXO3,Forkhead box protein O3,2.12E+06,2.78E+06,2.50E+06,2.81E+06,2.59E+06,2.90E+06,2.66E+06,3.32E+06
O43542,O43542;G3V3Q2,XRCC3_HUMAN,XRCC3,DNA repair protein XRCC3,690233,,900127,1.13E+06,791207,1.22E+06,1.14E+06,976872
O43572,O43572;E7EMD6;J3QL61,AKA10_HUMAN,AKAP10,"A-kinase anchor protein 10, mitochondrial",1.28E+06,1.01E+06,1.51E+06,1.01E+06,1.13E+06,882290,1.22E+06,827155
O43583,O43583,DENR_HUMAN,DENR,Density-regulated protein,8.46E+06,1.03E+07,9.47E+06,8.67E+06,8.75E+06,1.19E+07,8.06E+06,8.44E+06
O43592,O43592;F8WDU6,XPOT_HUMAN,XPOT,Exportin-T,1.20E+07,1.18E+07,1.35E+07,1.25E+07,1.28E+07,1.34E+07,1.33E+07,1.40E+07
O43598,O43598;H0Y8X4,DNPH1_HUMAN,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,1.39E+07,1.61E+07,1.26E+07,1.73E+07,1.26E+07,1.63E+07,1.27E+07,1.50E+07
O43615,O43615;M0QXU7,TIM44_HUMAN,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,9.08E+06,9.08E+06,7.25E+06,1.16E+07,9.72E+06,1.13E+07,6.47E+06,9.04E+06
O43617,O43617;O43617-2;A0A087WWM0;A0A087WYS5,TPPC3_HUMAN,TRAPPC3,Trafficking protein particle complex subunit 3,1.39E+07,1.23E+07,1.77E+07,1.08E+07,1.39E+07,1.15E+07,1.56E+07,1.00E+07
O43633,O43633;M0R1T5,CHM2A_HUMAN,CHMP2A,Charged multivesicular body protein 2a,2.98E+06,2.30E+06,3.18E+06,2.38E+06,3.19E+06,3.20E+06,3.85E+06,4.26E+06
O43657,O43657;A0A087WYV6;A0A087WZU5,TSN6_HUMAN,TSPAN6,Tetraspanin-6,947166,673300,1.08E+06,744132,1.12E+06,628996,1.23E+06,672749
O43660;O43660-2,O43660;O43660-2;D6RA26,PLRG1_HUMAN,PLRG1,Pleiotropic regulator 1,1.78E+07,1.84E+07,1.93E+07,2.27E+07,1.93E+07,2.08E+07,2.25E+07,2.34E+07
O43663,O43663;O43663-2;O43663-3;O43663-4,PRC1_HUMAN,PRC1,Protein regulator of cytokinesis 1,9.09E+06,6.60E+06,9.38E+06,6.28E+06,7.70E+06,6.57E+06,8.55E+06,7.39E+06
O43665,O43665;O43665-1;O43665-2,RGS10_HUMAN,RGS10,Regulator of G-protein signaling 10,2.84E+06,2.42E+06,2.52E+06,4.31E+06,3.05E+06,3.31E+06,3.52E+06,3.18E+06
O43670-2,O43670;O43670-2;O43670-4;J3KRW6;J3QRS9;J3KRB6;H0Y3M2;X6R4W8;J3QS27;J3KTL1,ZN207_HUMAN,ZNF207,Isoform 2 of BUB3-interacting and GLEBS motif-containing protein ZNF207,3.89E+07,3.62E+07,4.06E+07,3.74E+07,4.04E+07,3.86E+07,3.92E+07,3.89E+07
O43674;O43674-2,O43674;O43674-2;H0Y886;E7EWP0,NDUB5_HUMAN,NDUFB5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",5.02E+06,4.60E+06,3.74E+06,4.87E+06,5.18E+06,4.88E+06,3.71E+06,2.60E+06
O43676,O43676,NDUB3_HUMAN,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,5.89E+06,5.35E+06,5.54E+06,5.05E+06,6.34E+06,5.21E+06,3.94E+06,3.03E+06
O43678,O43678,NDUA2_HUMAN,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,6.13E+06,3.50E+06,3.50E+06,7.70E+06,6.31E+06,7.71E+06,4.00E+06,4.11E+06
O43681,O43681,GET3_HUMAN,GET3,ATPase GET3,2.09E+07,2.43E+07,2.05E+07,1.98E+07,1.93E+07,2.13E+07,2.06E+07,2.28E+07
O43683;O43683-2,O43683;O43683-2;O43683-3;A0A590UK50,BUB1_HUMAN,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,4.99E+06,1.21E+06,4.86E+06,1.89E+06,5.23E+06,1.60E+06,5.48E+06,2.34E+06
O43684;O43684-2,O43684;O43684-2;J3QT28;J3QSX4,BUB3_HUMAN,BUB3,Mitotic checkpoint protein BUB3,7.33E+07,7.29E+07,7.33E+07,7.41E+07,6.69E+07,7.93E+07,6.46E+07,7.12E+07
O43707,O43707;O43707-2;O43707-3;H7C144;F5GXS2,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,9.88E+07,1.05E+08,9.53E+07,1.05E+08,9.93E+07,9.98E+07,1.00E+08,9.93E+07
O43708;O43708-3,O43708;O43708-2;O43708-3;A0A0C4DFM0;G3V5T0;G3V3B9;A0A0A0MR33;G3V4T6;G3V267,MAAI_HUMAN,GSTZ1,Maleylacetoacetate isomerase,2.46E+06,3.09E+06,2.56E+06,3.84E+06,2.74E+06,3.42E+06,2.53E+06,2.90E+06
O43709;O43709-3,O43709;O43709-2;O43709-3;F8WD87;E9PCQ7;F8WD67,BUD23_HUMAN,BUD23,Probable 18S rRNA (guanine-N(7))-methyltransferase,2.90E+06,1.68E+06,3.46E+06,1.70E+06,3.28E+06,1.34E+06,3.09E+06,1.74E+06
O43716,O43716;H0YIV9,GATC_HUMAN,GATC,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",2.19E+06,1.83E+06,2.55E+06,2.21E+06,3.63E+06,2.36E+06,2.12E+06,1.90E+06
O43719,O43719,HTSF1_HUMAN,HTATSF1,HIV Tat-specific factor 1,1.23E+07,1.45E+07,1.33E+07,1.27E+07,1.30E+07,1.44E+07,1.33E+07,1.32E+07
O43739;O43739-2,Q15438;Q15438-2;Q15438-3;Q99418;Q99418-2;O43739;O43739-2;A0A0D9SFG6;M0R2J0;G5E9B7;K7ENQ8,CYH3_HUMAN,CYTH3,Cytohesin-3,2.04E+06,1.67E+06,1.64E+06,1.33E+06,2.10E+06,1.21E+06,1.42E+06,
O43741,O43741;O43741-2,AAKB2_HUMAN,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,727014,906428,991022,899569,,684387,591278,751601
O43747;O43747-2,O43747;O43747-2,AP1G1_HUMAN,AP1G1,AP-1 complex subunit gamma-1,9.42E+06,9.98E+06,9.33E+06,9.81E+06,9.91E+06,9.98E+06,9.75E+06,1.07E+07
O43752,O43752,STX6_HUMAN,STX6,Syntaxin-6,2.46E+06,2.80E+06,2.34E+06,2.76E+06,2.11E+06,2.51E+06,2.18E+06,2.78E+06
O43759;O43759-2,O43759;O43759-2;F8WCE4;A2A283;B5MCD7,SNG1_HUMAN,SYNGR1,Synaptogyrin-1,2.07E+06,2.63E+06,2.56E+06,2.88E+06,,2.18E+06,3.81E+06,2.34E+06
O43765,O43765;A0A7I2V697;A0A7I2V4T9;A0A7I2V2U2;A0A7I2V5Z3;K7EMD6;A0A7I2V588,SGTA_HUMAN,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,4.49E+07,4.51E+07,4.00E+07,3.80E+07,4.28E+07,3.89E+07,4.58E+07,4.44E+07
O43766;O43766-2;O43766-3,O43766;O43766-2;O43766-3;A0A1W2PNQ5;A0A1W2PRE7,LIAS_HUMAN,LIAS,"Lipoyl synthase, mitochondrial",386922,,230604,382585,702438,,,
O43768;O43768-3,O43768;O43768-2;O43768-3;O43768-4;O43768-5;O43768-6;O43768-7;O43768-8;O43768-9;A0A1W2PRU0;Q5T5H1;A6NMQ3,ENSA_HUMAN,ENSA,Alpha-endosulfine,3.23E+07,4.15E+07,3.91E+07,2.79E+07,3.18E+07,3.89E+07,3.50E+07,3.30E+07
O43776,O43776,SYNC_HUMAN,NARS1,"Asparagine--tRNA ligase, cytoplasmic",3.23E+07,3.63E+07,3.05E+07,3.59E+07,2.98E+07,3.74E+07,3.16E+07,3.65E+07
O43791,O43791,SPOP_HUMAN,SPOP,Speckle-type POZ protein,1.33E+06,,1.34E+06,,1.16E+06,,1.18E+06,
O43795;O43795-2,O43795;O43795-2;E7EQD9;E9PDF6,MYO1B_HUMAN,MYO1B,Unconventional myosin-Ib,6.34E+06,7.30E+06,6.72E+06,7.19E+06,7.18E+06,6.03E+06,6.96E+06,6.88E+06
O43805,O43805,SSNA1_HUMAN,SSNA1,Sjoegren syndrome nuclear autoantigen 1,5.49E+06,4.86E+06,8.18E+06,6.00E+06,9.41E+06,5.20E+06,7.66E+06,5.80E+06
O43808,O43808;B0QYW5;F6RTR7,PM34_HUMAN,SLC25A17,Peroxisomal membrane protein PMP34,400226,319339,801962,489129,569877,369198,428856,365945
O43809,O43809;H3BND3;H3BV41,CPSF5_HUMAN,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,1.09E+07,1.64E+07,8.69E+06,1.94E+07,1.47E+07,1.63E+07,9.70E+06,1.67E+07
O43813,O43813;E9PHS0;F8WDS9,LANC1_HUMAN,LANCL1,Glutathione S-transferase LANCL1,1.30E+07,1.64E+07,1.29E+07,1.49E+07,1.25E+07,1.52E+07,1.37E+07,1.51E+07
O43815,O43815;O43815-2,STRN_HUMAN,STRN,Striatin,6.78E+06,6.77E+06,7.29E+06,7.18E+06,6.61E+06,6.21E+06,7.13E+06,7.14E+06
O43818,O43818,U3IP2_HUMAN,RRP9,U3 small nucleolar RNA-interacting protein 2,1.05E+07,1.25E+07,1.06E+07,1.35E+07,1.28E+07,1.17E+07,9.11E+06,1.26E+07
O43819,O43819,SCO2_HUMAN,SCO2,"Protein SCO2 homolog, mitochondrial",639461,687239,700510,866362,918838,719167,695083,393482
O43823,O43823;A0A7P0T893,AKAP8_HUMAN,AKAP8,A-kinase anchor protein 8,8.85E+06,1.03E+07,9.02E+06,1.04E+07,9.28E+06,1.10E+07,8.78E+06,1.03E+07
O43824,O43824,GTPB6_HUMAN,GTPBP6,Putative GTP-binding protein 6,,438129,524257,1.08E+06,861623,920182,,763263
O43829,O43829,ZBT14_HUMAN,ZBTB14,Zinc finger and BTB domain-containing protein 14,124824,282176,224369,267077,224601,322012,107086,294579
O43837,O43837;O43837-2;A0A087WZN1;A0A087X2E5,IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",6.04E+06,5.50E+06,5.47E+06,8.03E+06,7.60E+06,7.11E+06,4.66E+06,5.62E+06
O43847;O43847-2,O43847;O43847-2;F5H7V1;G3V1R5,NRDC_HUMAN,NRDC,Nardilysin,1.85E+07,1.34E+07,1.72E+07,1.32E+07,1.86E+07,1.40E+07,1.90E+07,1.36E+07
O43852-8,O43852-2;O43852-4;O43852-7;O43852-8,CALU_HUMAN,CALU,Isoform 8 of Calumenin,1.32E+07,8.55E+06,1.52E+07,1.07E+07,1.45E+07,1.20E+07,1.29E+07,8.51E+06
O43852;O43852-3,O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-8;O43852-9;O43852-15;H0Y875,CALU_HUMAN,CALU,Calumenin,4.90E+07,4.86E+07,5.27E+07,4.57E+07,5.37E+07,4.73E+07,5.44E+07,4.36E+07
O43865,O43865,SAHH2_HUMAN,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,1.93E+07,1.64E+07,1.85E+07,1.65E+07,1.81E+07,1.69E+07,1.88E+07,1.74E+07
O43913;O43913-2,O43913;O43913-2;G3V0H0,ORC5_HUMAN,ORC5,Origin recognition complex subunit 5,3.52E+06,3.26E+06,4.56E+06,3.49E+06,3.13E+06,3.45E+06,3.33E+06,4.09E+06
O43920,O43920,NDUS5_HUMAN,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,2.67E+06,2.46E+06,2.70E+06,2.91E+06,3.42E+06,3.00E+06,2.57E+06,2.05E+06
O43924,O43924;B8ZZK5;C9IZ52,PDE6D_HUMAN,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",2.56E+06,,1.58E+06,2.28E+06,1.20E+06,3.14E+06,1.46E+06,2.45E+06
O43929,O43929;O43929-2;O43929-3,ORC4_HUMAN,ORC4,Origin recognition complex subunit 4,6.81E+06,5.52E+06,5.58E+06,5.84E+06,6.60E+06,5.67E+06,6.62E+06,5.43E+06
O43933,O43933;A0A0C4DG33,PEX1_HUMAN,PEX1,Peroxisome biogenesis factor 1,298803,361446,570041,201247,,352277,522454,338512
O60216,O60216;E5RFV8;E5RJK5;E5RJW1;E5RIN7,RAD21_HUMAN,RAD21,Double-strand-break repair protein rad21 homolog,1.58E+07,1.83E+07,1.84E+07,1.99E+07,1.69E+07,2.01E+07,1.86E+07,1.99E+07
O60231,O60231;A0A140T947,DHX16_HUMAN,DHX16,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,6.03E+06,6.38E+06,6.44E+06,6.27E+06,6.40E+06,6.18E+06,6.17E+06,6.81E+06
O60232,O60232;G3V1B8;H0YEB6,ZNRD2_HUMAN,ZNRD2,Protein ZNRD2,2.94E+07,2.95E+07,3.41E+07,2.82E+07,3.29E+07,2.82E+07,3.10E+07,3.04E+07
O60244,O60244,MED14_HUMAN,MED14,Mediator of RNA polymerase II transcription subunit 14,6.61E+06,7.19E+06,8.19E+06,7.86E+06,7.55E+06,7.48E+06,7.16E+06,6.41E+06
O60245;O60245-2,O60245;O60245-2,PCDH7_HUMAN,PCDH7,Protocadherin-7,550391,632950,678423,,671058,,673417,
O60256,O60256;O60256-3;C9K0K7;I3L331;E7EPA1;C9JJS3;E7EW35;I3L164;C9JDH0;C9JDU5,KPRB_HUMAN,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,1.50E+07,1.63E+07,1.49E+07,1.70E+07,1.58E+07,1.55E+07,1.62E+07,1.55E+07
O60264,P28370;P28370-2;O60264;B7ZLQ5;A0A0A0MRP6,SMCA5_HUMAN,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,2.03E+07,2.00E+07,1.91E+07,2.03E+07,2.03E+07,1.91E+07,1.70E+07,1.98E+07
O60271-3,O60271;O60271-3;D6RHI8,JIP4_HUMAN,SPAG9,Isoform 3 of C-Jun-amino-terminal kinase-interacting protein 4,373670,715230,721516,842088,639382,709344,726074,864698
O60271-4,O60271;O60271-2;O60271-3;O60271-4;O60271-5;O60271-9;A0A087X2D8,JIP4_HUMAN,SPAG9,Isoform 4 of C-Jun-amino-terminal kinase-interacting protein 4,9.32E+06,1.03E+07,8.83E+06,1.02E+07,9.93E+06,1.05E+07,9.74E+06,1.04E+07
O60279,O60279,SUSD5_HUMAN,SUSD5,Sushi domain-containing protein 5,4.11E+06,3.44E+06,3.69E+06,3.11E+06,4.27E+06,3.31E+06,2.86E+06,2.73E+06
O60282,O60282;O60282-2;A0A7I2V581;A0A7I2V4K6;A0A7I2V3V4;A0A7I2V492;A0A0G2JMZ6,KIF5C_HUMAN,KIF5C,Kinesin heavy chain isoform 5C,1.32E+06,1.27E+06,1.36E+06,976088,1.13E+06,1.03E+06,1.33E+06,1.03E+06
O60287,O60287,NPA1P_HUMAN,URB1,Nucleolar pre-ribosomal-associated protein 1,7.10E+06,5.24E+06,7.44E+06,6.12E+06,6.98E+06,5.83E+06,6.97E+06,4.70E+06
O60293;O60293-2,O60293;O60293-2,ZC3H1_HUMAN,ZFC3H1,Zinc finger C3H1 domain-containing protein,508104,570568,513914,576521,451084,575183,614445,606034
O60306,O60306,AQR_HUMAN,AQR,RNA helicase aquarius,4.90E+06,5.05E+06,5.83E+06,5.28E+06,5.33E+06,4.88E+06,5.41E+06,4.92E+06
O60308,O60308;A0A6Q8PFR4;Q5SR27;A0A6Q8PHE1;A0A6Q8PH38;A0A6Q8PGF0;A0A6Q8PGB3;A0A6Q8PH69;J3QLL3;A0A6Q8PHR0,CE104_HUMAN,CEP104,Centrosomal protein of 104 kDa,8.44E+06,4.19E+06,9.19E+06,5.07E+06,7.60E+06,5.16E+06,8.34E+06,5.51E+06
O60313-2,O60313;O60313-2;O60313-9;O60313-10;O60313-11;O60313-13;C9JMB8;E5KLJ9;A0A2R8YDM2;A0A2R8YE78;A0A2R8YFD1;A0A2R8Y3X5,OPA1_HUMAN,OPA1,"Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial",8.50E+06,8.44E+06,7.88E+06,8.60E+06,8.12E+06,8.18E+06,7.67E+06,7.70E+06
O60318,O60318;O60318-2,GANP_HUMAN,MCM3AP,Germinal-center associated nuclear protein,1.91E+06,2.20E+06,2.03E+06,2.29E+06,2.10E+06,2.16E+06,2.13E+06,2.34E+06
O60333-2,O60333;O60333-2;O60333-4;A0A087WWA3;Q4R9M9,KIF1B_HUMAN,KIF1B,Isoform 2 of Kinesin-like protein KIF1B,1.62E+06,1.06E+06,1.26E+06,,1.21E+06,859355,1.13E+06,1.10E+06
O60333-3,O60333-3,KIF1B_HUMAN,KIF1B,Isoform 3 of Kinesin-like protein KIF1B,6.34E+06,4.57E+06,6.47E+06,3.69E+06,5.78E+06,4.23E+06,5.39E+06,4.21E+06
O60341,O60341;O60341-2;R4GMQ1;R4GMP9,KDM1A_HUMAN,KDM1A,Lysine-specific histone demethylase 1A,9.84E+06,9.46E+06,9.44E+06,8.71E+06,9.85E+06,8.75E+06,8.98E+06,8.52E+06
O60343;O60343-2;O60343-3,O60343;O60343-2;O60343-3;A0A3B3IRT3,TBCD4_HUMAN,TBC1D4,TBC1 domain family member 4,1.01E+07,9.83E+06,9.31E+06,9.70E+06,9.55E+06,9.61E+06,9.23E+06,9.11E+06
O60361,O60361;P22392;P22392-2;Q32Q12,NDK8_HUMAN,NME2P1,Putative nucleoside diphosphate kinase,1.51E+08,1.65E+08,1.38E+08,1.79E+08,1.58E+08,1.65E+08,1.45E+08,1.86E+08
O60427;O60427-2,O60427;O60427-2;F5H3P6;A0A0A0MR51;F5H3U5,FADS1_HUMAN,FADS1,Acyl-CoA (8-3)-desaturase,45400.7,62069.8,118331,,73067.4,,41668.4,
O60447;O60447-2,O60447;O60447-2;A0A804HIC4;A0A1B0GUF4,EVI5_HUMAN,EVI5,Ecotropic viral integration site 5 protein homolog,819990,770011,929580,,858092,669752,807782,645604
O60488;O60488-2,O60488;O60488-2;A0A804HI36,ACSL4_HUMAN,ACSL4,Long-chain-fatty-acid--CoA ligase 4,8.01E+06,5.72E+06,7.53E+06,6.61E+06,8.77E+06,5.57E+06,8.88E+06,6.18E+06
O60493,O60493;O60493-3;O60493-4,SNX3_HUMAN,SNX3,Sorting nexin-3,2.95E+07,1.88E+07,2.29E+07,1.63E+07,2.22E+07,1.94E+07,2.20E+07,1.85E+07
O60499,O60499;O60499-2;K7EJ05;Q5U8S2;K7EPP9;K7EIY4;X6R2W0;K7EQ84;K7ELY2,STX10_HUMAN,STX10,Syntaxin-10,1.16E+06,1.49E+06,1.33E+06,1.41E+06,1.42E+06,1.70E+06,1.54E+06,1.57E+06
O60502,O60502;O60502-2;O60502-3;O60502-4;H7C3X0,OGA_HUMAN,OGA,Protein O-GlcNAcase,9.59E+06,1.24E+07,9.61E+06,1.21E+07,9.78E+06,1.26E+07,9.81E+06,1.31E+07
O60504,O60504;O60504-2;H0YAZ3;H0YB51,VINEX_HUMAN,SORBS3,Vinexin,923007,894604,,,,1.14E+06,1.18E+06,763964
O60506,O60506;O60506-2;O60506-3;O60506-4;A0A7I2V5Q6;A0A7I2YQN2;F6UXX1;A0A7I2V2F2;A0A7I2V309;A0A7I2V4Z0;B7Z645,HNRPQ_HUMAN,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,1.41E+08,1.61E+08,1.42E+08,1.76E+08,1.41E+08,1.61E+08,1.52E+08,1.69E+08
O60506-4,O60506-3;O60506-4;O60506-5;A0A7I2YQV8;A0A7I2YQN2;H0YAA0;A0A7I2V346;B7Z645,HNRPQ_HUMAN,SYNCRIP,Isoform 4 of Heterogeneous nuclear ribonucleoprotein Q,1.21E+07,1.38E+07,1.34E+07,1.32E+07,1.21E+07,1.51E+07,9.83E+06,1.39E+07
O60508,O60508;Q5SRN1,PRP17_HUMAN,CDC40,Pre-mRNA-processing factor 17,6.28E+06,6.81E+06,6.60E+06,5.42E+06,6.87E+06,6.41E+06,6.13E+06,5.85E+06
O60518,O60518,RNBP6_HUMAN,RANBP6,Ran-binding protein 6,7.91E+06,7.41E+06,8.25E+06,8.74E+06,8.36E+06,8.23E+06,9.61E+06,8.45E+06
O60524;O60524-3;O60524-4;O60524-5,O60524;O60524-3;O60524-4;O60524-5;G3V5V3,NEMF_HUMAN,NEMF,Ribosome quality control complex subunit NEMF,1.14E+06,1.15E+06,1.50E+06,1.28E+06,1.07E+06,1.31E+06,1.25E+06,1.24E+06
O60547;O60547-2,O60547;O60547-2,GMDS_HUMAN,GMDS,"GDP-mannose 4,6 dehydratase",5.17E+06,6.04E+06,6.44E+06,6.15E+06,5.82E+06,6.79E+06,5.81E+06,6.27E+06
O60563,O60563;O60563-2;A0A1W2PQ16,CCNT1_HUMAN,CCNT1,Cyclin-T1,2.41E+06,3.18E+06,2.25E+06,3.09E+06,3.01E+06,2.63E+06,3.12E+06,3.71E+06
O60566;O60566-3,O60566;O60566-2;O60566-3,BUB1B_HUMAN,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,4.16E+06,3.96E+06,4.81E+06,4.14E+06,4.49E+06,4.15E+06,4.59E+06,4.55E+06
O60568,O60568;H7C0B8;H7C2V1,PLOD3_HUMAN,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,2.72E+06,2.18E+06,2.44E+06,2.86E+06,2.26E+06,2.58E+06,2.21E+06,1.72E+06
O60573,O60573;O60573-2;B9A044;B9A023;B8ZZ50;B8ZZL3;C9JEL3;B4E1E4,IF4E2_HUMAN,EIF4E2,Eukaryotic translation initiation factor 4E type 2,9.87E+06,8.66E+06,1.11E+07,8.02E+06,9.92E+06,7.99E+06,1.00E+07,8.05E+06
O60583;O60583-2,O60583;O60583-2,CCNT2_HUMAN,CCNT2,Cyclin-T2,682669,691673,868532,742093,924171,514914,502096,844729
O60610,O60610;O60610-2;O60610-3;A0A140T8Z0;B4E2I7;A0A2R8Y5N1;A0A0G2JH68;A0A2R8YEF8;H9KV28,DIAP1_HUMAN,DIAPH1,Protein diaphanous homolog 1,1.47E+07,1.56E+07,1.53E+07,1.48E+07,1.48E+07,1.58E+07,1.48E+07,1.58E+07
O60613,O60613;A0A087X1G7,SEP15_HUMAN,SELENOF,Selenoprotein F,1.39E+06,1.58E+06,1.47E+06,1.62E+06,1.16E+06,1.86E+06,1.20E+06,1.62E+06
O60645,O60645;D6RB59,EXOC3_HUMAN,EXOC3,Exocyst complex component 3,4.51E+06,3.75E+06,3.78E+06,3.71E+06,2.92E+06,3.33E+06,3.81E+06,4.11E+06
O60664;O60664-4,O60664;O60664-3;O60664-4;K7ERZ3;K7ER39;K7EL96,PLIN3_HUMAN,PLIN3,Perilipin-3,7.44E+06,7.94E+06,8.12E+06,7.70E+06,7.58E+06,8.09E+06,9.13E+06,8.50E+06
O60671;O60671-2,O60671;O60671-2;O60671-3;D6R9A1,RAD1_HUMAN,RAD1,Cell cycle checkpoint protein RAD1,1.32E+06,1.52E+06,1.42E+06,1.37E+06,1.81E+06,1.74E+06,1.51E+06,1.36E+06
O60678,O60678;O60678-2,ANM3_HUMAN,PRMT3,Protein arginine N-methyltransferase 3,1.62E+07,1.46E+07,1.49E+07,1.39E+07,1.53E+07,1.50E+07,1.49E+07,1.43E+07
O60684,O60684,IMA7_HUMAN,KPNA6,Importin subunit alpha-7,2.94E+07,2.74E+07,2.84E+07,3.02E+07,2.78E+07,2.72E+07,2.90E+07,2.98E+07
O60701,O60701;O60701-2;O60701-3,UGDH_HUMAN,UGDH,UDP-glucose 6-dehydrogenase,1.50E+07,1.84E+07,1.52E+07,1.63E+07,1.52E+07,1.78E+07,1.53E+07,1.75E+07
O60716;O60716-2;O60716-3;O60716-5,O60716;O60716-2;O60716-3;O60716-4;O60716-5;O60716-6;O60716-7;O60716-8;O60716-9;O60716-10;O60716-11;O60716-12;O60716-13;O60716-14;O60716-15;O60716-16;O60716-17;O60716-18;O60716-19;O60716-20;O60716-21;O60716-22;O60716-23;O60716-24;O60716-25;O60716-26;O60716-27;O60716-28;O60716-29;O60716-30;O60716-31;O60716-32;A0A669KB05;A0A804HK15;H0YC95;A0A804HJM1;C9JZR2;A0A669KB62;A0A804HIL4,CTND1_HUMAN,CTNND1,Catenin delta-1,2.21E+07,2.19E+07,2.45E+07,1.99E+07,2.52E+07,2.04E+07,2.53E+07,2.20E+07
O60739,O60739,EIF1B_HUMAN,EIF1B,Eukaryotic translation initiation factor 1b,791320,534249,598620,703229,689859,523789,728548,711119
O60749,O60749;O60749-2;Q13596;Q13596-2;H0YK42,SNX2_HUMAN,SNX2,Sorting nexin-2,2.05E+07,2.08E+07,1.95E+07,2.13E+07,1.92E+07,2.10E+07,1.98E+07,2.01E+07
O60762,O60762;A0A804HJ93;H0Y368;Q5QPK2,DPM1_HUMAN,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,2.53E+06,2.35E+06,3.59E+06,4.35E+06,4.27E+06,3.34E+06,2.96E+06,2.60E+06
O60763;O60763-2,O60763;O60763-2,USO1_HUMAN,USO1,General vesicular transport factor p115,1.56E+07,1.58E+07,1.54E+07,1.56E+07,1.62E+07,1.73E+07,1.62E+07,1.78E+07
O60783,O60783,RT14_HUMAN,MRPS14,"28S ribosomal protein S14, mitochondrial",4.17E+06,3.81E+06,4.74E+06,5.97E+06,5.54E+06,4.27E+06,3.06E+06,3.64E+06
O60784;O60784-2;O60784-3;O60784-4,O60784;O60784-2;O60784-3;O60784-4,TOM1_HUMAN,TOM1,Target of Myb protein 1,2.18E+06,2.94E+06,2.41E+06,1.68E+06,2.66E+06,2.57E+06,2.74E+06,2.46E+06
O60814;P57053;P62807,Q99880;Q99879;Q93079;P58876;O60814;Q99877;P62807;Q5QNW6;Q5QNW6-2;P57053;U3KQK0,H2B1C_HUMAN;H2B1K_HUMAN;H2BFS_HUMAN,H2BC12;H2BC12L;H2BC4,Histone H2B type 1-K,3.63E+08,4.43E+08,3.24E+08,4.08E+08,3.77E+08,3.76E+08,3.36E+08,3.59E+08
O60826,O60826,CCD22_HUMAN,CCDC22,Coiled-coil domain-containing protein 22,3.55E+06,3.46E+06,3.75E+06,3.23E+06,3.91E+06,3.79E+06,3.59E+06,3.42E+06
O60828;O60828-2;O60828-5,O60828;O60828-2;O60828-4;O60828-5;H7C053,PQBP1_HUMAN,PQBP1,Polyglutamine-binding protein 1,1.85E+07,1.95E+07,2.11E+07,1.90E+07,2.20E+07,2.33E+07,2.43E+07,2.14E+07
